username,created_at,lng,lat,text,,,,
vick_twit, Tue Jan 26 21:09:50 +0000 2021,82.99649,25.33272, Just posted a photo @ वाराणसी - बनारस - काशी https://t.co/gQ7cxY8TqN ,,,,
RohailBme, Tue Jan 26 21:09:50 +0000 2021,68.889159,26.116357, @SaeedaImtiaz @SabaHyder1 @ImranKhanPTI تاریکِ انسانپ والوں اب جواب دو اور انصاف دو، ,,,,
SalmanAliSays, Tue Jan 26 21:09:53 +0000 2021,67.042194,24.905076, Dil mein mere mehfooz horahaa haiWoh shakhs aaj bara mehsoos horaha hai-SalmanAliWrites ,,,,
shailesh143love, Tue Jan 26 21:10:00 +0000 2021,71.291372,22.414713, हमने भी कभी प्यार किया था,थोड़ा नही बेशुमार किया था,दिल टूट कर रह गया,जब उसने कहा, अरे मैने तो मज़ाक किया था…Shailesh parmar6359248107 
shreyansh_bwr, Tue Jan 26 21:10:01 +0000 2021,74.308757,25.947998, @shaswatpandey15 @Akshaymhs @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey… https://t.co/xqNK78WXzn ,,,,
Abhisek74140332, Tue Jan 26 21:10:05 +0000 2021,85.757382,19.829749, Defaming, we need to defame you ???🤣🤣🤣🤣🤣🤣🤣🤣 @UdayPratapSingh ,,,
aaitirairport, Tue Jan 26 21:10:08 +0000 2021,79.261047,13.596587, Republic day 2021. Flag hoisting at the airport and at AAI residential colony in Tirupati by Airport Director. Loca… https://t.co/zHVC18ojAv ,,,,
shreyansh_bwr, Tue Jan 26 21:10:14 +0000 2021,74.308757,25.947998, @ShrutiSambhar @WomanSci @pranavmahajan @DrVikasPadha @The_NehaJoshi @rahulroushan @Nidhi @nishantchat… https://t.co/m4WQC9UyIO ,,,,
harjit_boparai, Tue Jan 26 21:10:20 +0000 2021,78.420229,23.970895, https://t.co/vFUx0yMHkk ,,,,
mughal_sadab, Tue Jan 26 21:10:24 +0000 2021,80.985317,23.358947, Even though I don't know @svembu personally, I feel happy and proud that he has won #Padmashri because he is such a… https://t.co/Lobmf41B4h ,,,
RaeZugarr, Tue Jan 26 21:10:27 +0000 2021,73.226307,3.201397, Craving for 🌮 at this ungodly hour 😩 ,,,,
ahsaan_wajid, Tue Jan 26 21:10:32 +0000 2021,67.042194,24.905076, Me tweeting tweets and then gets ignored and then this is what i feel... https://t.co/gC2LuhXuWg ,,,,
shreyansh_bwr, Tue Jan 26 21:10:39 +0000 2021,74.308757,25.947998, @ManOfTales @dharmicverangna @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey… https://t.co/OpJo8wqDWa ,,,,
BhagwanBishnoi7, Tue Jan 26 21:10:44 +0000 2021,73.001124,26.268285, 72 वें गणतंत्र दिवस के शुभ अवसर पर समस्त भारत वासियों को मेरी तरफ से हार्दिक शुभकामनाएं। जय हिन्द जय भारत। https://t.co/Y1Y7ebkqIw ,,,,
YogiFirangi, Tue Jan 26 21:10:57 +0000 2021,72.874244,19.17414, @BalloonsAppOtt @queensha111 @ParagSharma1983 @_star_key_ @ClarkJills @Thalakl1996 @Roman71977712 @RogerThomson878… https://t.co/c1jGYtHNxG ,,,,
hMh22726421, Tue Jan 26 21:10:58 +0000 2021,80.964027,24.549429, #ConstitutionOfTheSupremeGodमनुष्य को धर्म जाति में विभाजित होकर झगड़े नहीं करना चाहिए।जात-पात सब झूठ है, भरम प… https://t.co/ODNb4GElGO ,,,
AbhishekAnnmol, Tue Jan 26 21:10:59 +0000 2021,82.584181,19.938705, @workingboxwala Then follow @AmyraDastur93  u will come to know about new things. ,,,,
shreyansh_bwr, Tue Jan 26 21:11:00 +0000 2021,74.308757,25.947998, @JeffryJonThomas @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella… https://t.co/N1WeAUh98J ,,,,
ahsaan_wajid, Tue Jan 26 21:11:11 +0000 2021,67.042194,24.905076, 😫 https://t.co/SFAwuVdXqT ,,,,
shreyansh_bwr, Tue Jan 26 21:11:14 +0000 2021,74.308757,25.947998, @DKolwadkar @pranavmahajan @DrVikasPadha @The_NehaJoshi @rahulroushan @Nidhi @nishantchat @nishikant_dubey… https://t.co/EaQ3o8zg8s ,,,,
finepatriot1, Tue Jan 26 21:11:22 +0000 2021,85.853412,20.249108, This driver forgot that he was driving a tractor and not a bike. ,,,,
